model,mse,mae,r2,cutoff,n_train,n_test
RandomForest,0.0005323391324501855,0.015046542757506854,-0.020338258770878248,2023-07-07T14:24:00.000001024,42480,10620
XGBoost,0.0005311151724394656,0.014990459269254115,-0.01799228578107548,2023-07-07T14:24:00.000001024,42480,10620
